variables=x,tau0.00
0.0002865216628284706, 0.4709771463158692
0.0028150753372896964, 2.1030260269115466
0.008735329195482977, 4.080046989552704
0.012825425932359358, 5.649168549949682
0.02461579235775091, 6.71532282037599
0.03680370759031698, 5.678300640017767
0.05206098613593302, 4.421258474773559
0.0837037222745522, 3.884646378545261
0.14434961373298327, 3.7847649268832537
0.23376586166017815, 3.7135642936703803
0.35997507261533385, 3.733069255867427
0.47656431874102373, 3.6906998649766685
0.5724058149571469, 3.681674432597571
0.6874693332282753, 3.7650092582312293
0.7930382398974252, 4.006188867917096
0.8906382628191583, 4.2795090451307445
0.9672219217724229, 4.115346458413173
0.9843093574393558, 3.2662036954131466
0.9980050929225566, 2.072088850367644
